frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
92,3,2;3;1,12.2616,8.2392,0.5602,8.9673,0.5203,0.5203,NORMAL,SUSTAINED_CONTACT,"{""[4]"": 0.17112999967985826, ""[1, 4]"": 0.11893812099926492, ""[2, 4]"": 0.07855838882767723, ""[2, 3]"": 0.5203258630231224, ""[3]"": 0.1410037174002811, ""[1]"": 0.08073597790301273, ""[1, 3]"": 0.030791450494290253}"
93,3,2;3;1,0.0000,0.0000,0.5602,2.6924,0.4787,0.4787,NORMAL,,"{""[4]"": 0.1574395997054696, ""[1, 4]"": 0.10942307131932373, ""[2, 4]"": 0.07227371772146306, ""[2, 3]"": 0.47869979398127266, ""[3]"": 0.1297234200082586, ""[1]"": 0.07427709967077172}"
94,3,2;3;1,1.7955,1.6012,0.5219,1.9394,0.4528,0.4528,NORMAL,SUSTAINED_CONTACT,"{""[4]"": 0.14484443172903205, ""[1, 4]"": 0.10066922561377784, ""[2, 4]"": 0.06649182030374602, ""[2, 3]"": 0.45279638561865193, ""[3]"": 0.11934554640759791, ""[1]"": 0.06833493169710998, ""[1, 3]"": 0.02302111280443089}"
95,3,2;3;1,0.0000,0.0000,0.5219,0.0000,0.4166,0.4166,NORMAL,,"{""[4]"": 0.1332568771907095, ""[1, 4]"": 0.09261568756467561, ""[2, 4]"": 0.061172474679446344, ""[2, 3]"": 0.41657267476915977, ""[3]"": 0.10979790269499008, ""[1]"": 0.06286813716134118}"
96,3,2;3;1,2.2124,2.1091,0.4439,2.6472,0.4711,0.4711,NORMAL,RAPID_APPROACH;SUSTAINED_CONTACT,"{""[4]"": 0.12259632701545274, ""[1, 4]"": 0.08520643255950157, ""[2, 4]"": 0.05627867670509064, ""[2, 3]"": 0.4711417535144434, ""[3]"": 0.10101407047939089, ""[1]"": 0.05783868618843389, ""[1, 3]"": 0.022540222079167727}"
97,3,2;3;1,0.0000,0.0000,0.4439,0.0000,0.4335,0.4335,NORMAL,,"{""[4]"": 0.11278862085421652, ""[1, 4]"": 0.07838991795474144, ""[2, 4]"": 0.05177638256868339, ""[2, 3]"": 0.4334504132332879, ""[3]"": 0.09293294484103962, ""[1]"": 0.05321159129335918}"
98,3,2;3;1,1.0982,1.0592,0.4298,1.2381,0.4167,0.4167,NORMAL,SUSTAINED_CONTACT,"{""[4]"": 0.10376553118587921, ""[1, 4]"": 0.07211872451836213, ""[2, 3]"": 0.41669389382890293, ""[3]"": 0.08549830925375645, ""[1, 3]"": 0.02087747146330983}"
99,3,2;3;1,0.0000,0.0000,0.4298,0.0000,0.3834,0.3834,NORMAL,,"{""[4]"": 0.09546428869100887, ""[1, 4]"": 0.06634922655689315, ""[2, 3]"": 0.38335838232259073, ""[3]"": 0.07865844451345594}"
100,3,2;3;1,1.4983,1.1435,0.4067,1.3357,0.3743,0.3743,NORMAL,SUSTAINED_CONTACT,"{""[4]"": 0.08782714559572817, ""[1, 4]"": 0.0610412884323417, ""[2, 3]"": 0.3742868527599793, ""[3]"": 0.07236576895237946, ""[1, 3]"": 0.0214673084326288}"
101,3,2;3;1,0.0000,0.0000,0.4067,0.0000,0.3443,0.3443,NORMAL,,"{""[4]"": 0.08080097394806993, ""[1, 4]"": 0.05615798535775437, ""[2, 3]"": 0.34434390453918096, ""[3]"": 0.0665765074361891}"
